,ID,CD_GEOCODIGO,TIPO,CD_GEOCODBA,NM_BAIRRO,CD_GEOCODSD,NM_SUBDISTRITO,CD_GEOCODDS,NM_DISTRITO,CD_GEOCODMU,NM_MUNICIPIO,NM_MICRO,NM_MESO,NM_UF,CD_NIVEL,CD_CATEGORIA,NM_CATEGORIA,NM_LOCALIDADE,LONG,LAT,ALT,GM_PONTO_sk
,13979,315650205000001,URBANO,,,31565020500,,315650205,RUBELITA,3156502,RUBELITA,SALINAS,NORTE DE MINAS,MINAS GERAIS,1,05,CIDADE,RUBELITA,-42.26476233,-16.40296642,439.344073,1J6E_B_BOe6-
,13980,315650205000007,RURAL,,,31565020500,,315650205,RUBELITA,3156502,RUBELITA,SALINAS,NORTE DE MINAS,MINAS GERAIS,3,00001,POVOADO,AMPARO DO SÍTIO,-42.00551693,-16.34523787,480.369525,"1J6E<,S?Jn=>"
,13981,315650205000015,RURAL,,,31565020500,,315650205,RUBELITA,3156502,RUBELITA,SALINAS,NORTE DE MINAS,MINAS GERAIS,3,00002,POVOADO,LAGOA DE BAIXO,-42.42596828,-16.28892894,653.9173,1J6E_;m3gZ+-
,13982,315660105000001,URBANO,,,31566010500,,315660105,RUBIM,3156601,RUBIM,ALMENARA,JEQUITINHONHA,MINAS GERAIS,1,05,CIDADE,RUBIM,-40.53694147,-16.37297352,235.553652,1J6EbA*49w8>
,13983,315660110000001,URBANO,,,31566011000,,315660110,ITAPIRU,3156601,RUBIM,ALMENARA,JEQUITINHONHA,MINAS GERAIS,2,10,VILA,ITAPIRU,-40.44283695,-16.51893445,388.748087,1J6EbcPUh*;f
,13984,315670005000001,URBANO,,,31567000500,,315670005,SABARÁ,3156700,SABARÁ,BELO HORIZONTE,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,1,05,CIDADE,SABARÁ,-43.82555709,-19.89249451,694.362081,1J6t9)P;iZB-
,13985,315670005000048,URBANO,,,31567000500,,315670005,SABARÁ,3156700,SABARÁ,BELO HORIZONTE,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,6,001,AUI,BORGES,-43.84633368,-19.8320355,714.249699,1J6t9)*h2hKp
,13986,315670010000001,URBANO,,,31567001000,,315670010,CARVALHO DE BRITO,3156700,SABARÁ,BELO HORIZONTE,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,10,VILA,CARVALHO DE BRITO,-43.87197135,-19.88054848,766.417265,1J6t87UOe=hf
,13987,315670010000083,URBANO,,,31567001000,,315670010,CARVALHO DE BRITO,3156700,SABARÁ,BELO HORIZONTE,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,6,002,AUI,GRANJAS DE FREITAS,-43.87106888,-19.91053367,837.512338,1J6t896www@-
,13988,315670010000084,URBANO,,,31567001000,,315670010,CARVALHO DE BRITO,3156700,SABARÁ,BELO HORIZONTE,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,6,003,AUI,TAQUARIL,-43.87548336,-19.91240243,858.343268,"1J6t898,tK1p"
,13989,315670015000001,URBANO,,,31567001500,,315670015,MESTRE CAETANO,3156700,SABARÁ,BELO HORIZONTE,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,15,VILA,MESTRE CAETANO,-43.74969939,-19.85705997,798.422151,1J6t9*=A^\gf
,13990,315670015000002,URBANO,,,31567001500,,315670015,MESTRE CAETANO,3156700,SABARÁ,BELO HORIZONTE,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,6,004,AUI,POMPÉU,-43.77074931,-19.86739762,747.380078,"1J6t9*G<,OEp"
,13991,315670020000001,URBANO,,,31567002000,,315670020,RAVENA,3156700,SABARÁ,BELO HORIZONTE,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,20,VILA,RAVENA,-43.75741534,-19.7941938,893.955465,1J6t7MiROKL>
,13992,315680905000001,URBANO,,,31568090500,,315680905,SABINÓPOLIS,3156809,SABINÓPOLIS,GUANHÃES,VALE DO RIO DOCE,MINAS GERAIS,1,05,CIDADE,SABINÓPOLIS,-43.08820364,-18.67181465,734.541115,1J6Em:h7Bug-
